epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.557,1.54984,2.20546,1.34097,0.63727,0.52705,0.5904,0.31319,1.43525,1.91127,1.21982,0.000661376,0.000661376,0.000661376
2,214.689,1.61311,1.6707,1.40464,0.54192,0.52211,0.54571,0.29922,1.50699,2.23323,1.37231,0.00124039,0.00124039,0.00124039
3,317.713,1.56034,1.58089,1.37528,0.62236,0.62316,0.61923,0.34104,1.49157,1.84043,1.3255,0.00173141,0.00173141,0.00173141
4,420.748,1.57368,1.55222,1.38977,0.63928,0.62105,0.66348,0.39333,1.38107,1.76592,1.28527,0.001604,0.001604,0.001604
5,522.884,1.49508,1.40892,1.32559,0.63826,0.62219,0.64448,0.35987,1.43847,1.55629,1.32106,0.001472,0.001472,0.001472
6,623.644,1.40846,1.33125,1.31109,0.69303,0.66947,0.69415,0.42969,1.26881,1.40184,1.25351,0.00134,0.00134,0.00134
7,725.268,1.37182,1.24926,1.29403,0.79009,0.67684,0.76941,0.4709,1.27546,1.40706,1.24757,0.001208,0.001208,0.001208
8,824.794,1.32117,1.17517,1.25735,0.65508,0.7557,0.70569,0.44069,1.25761,1.29417,1.21647,0.001076,0.001076,0.001076
9,924.94,1.27025,1.11887,1.2114,0.75796,0.71158,0.78495,0.50136,1.16102,1.23273,1.17831,0.000944,0.000944,0.000944
10,1025.25,1.23004,1.03881,1.19685,0.7857,0.73328,0.78541,0.48627,1.21426,1.14672,1.19353,0.000812,0.000812,0.000812
11,1125.48,1.19977,0.99074,1.16058,0.84281,0.77324,0.85745,0.56232,1.16645,1.02844,1.16787,0.00068,0.00068,0.00068
12,1225.67,1.15144,0.92358,1.14174,0.74267,0.78379,0.80616,0.52698,1.15162,1.07259,1.15824,0.000548,0.000548,0.000548
13,1326.71,1.12614,0.89649,1.12598,0.78732,0.79684,0.86714,0.5885,1.10809,0.93121,1.12886,0.000416,0.000416,0.000416
14,1446.13,1.08731,0.86214,1.11336,0.83974,0.79789,0.89177,0.60312,1.0581,0.89987,1.11311,0.000284,0.000284,0.000284
15,1558.35,1.03997,0.83065,1.07815,0.82308,0.77895,0.87548,0.61025,1.0225,0.89414,1.0996,0.000152,0.000152,0.000152
