epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.747,1.66776,2.02984,1.46268,0.55444,0.53684,0.54822,0.29675,1.41635,1.62662,1.34727,0.000330688,0.000330688,0.0672619
2,234.693,1.61904,1.64815,1.41673,0.5334,0.63789,0.5915,0.34294,1.30272,1.59804,1.23812,0.000620196,0.000620196,0.0342181
3,362.509,1.56256,1.61621,1.41267,0.63774,0.60782,0.64891,0.38931,1.28938,1.45551,1.27564,0.000865704,0.000865704,0.00113025
4,466.602,1.4978,1.49381,1.35633,0.60293,0.71767,0.68037,0.40329,1.23459,1.31786,1.20002,0.000802,0.000802,0.000802
5,566.314,1.53417,1.45688,1.37384,0.74476,0.70526,0.79176,0.47431,1.26346,1.17848,1.22577,0.000736,0.000736,0.000736
6,673.745,1.39144,1.327,1.28914,0.78396,0.60737,0.74749,0.44928,1.25452,1.33067,1.22369,0.00067,0.00067,0.00067
7,767.862,1.36168,1.25846,1.27999,0.70315,0.67158,0.7483,0.4626,1.24314,1.21395,1.20626,0.000604,0.000604,0.000604
8,860.665,1.32215,1.18576,1.26288,0.74184,0.67895,0.76657,0.47709,1.19975,1.26575,1.21356,0.000538,0.000538,0.000538
9,953.797,1.25828,1.11683,1.22402,0.82463,0.76316,0.82909,0.5152,1.18972,1.11785,1.16546,0.000472,0.000472,0.000472
10,1047.19,1.22533,1.07011,1.18671,0.84624,0.70421,0.82316,0.49845,1.23663,1.0894,1.20403,0.000406,0.000406,0.000406
11,1148.04,1.22385,1.04083,1.18338,0.78975,0.75684,0.8387,0.53929,1.10738,1.01442,1.15024,0.00034,0.00034,0.00034
12,1244.87,1.18058,0.99367,1.1687,0.83253,0.76421,0.85228,0.55619,1.10947,1.01334,1.15075,0.000274,0.000274,0.000274
13,1343.45,1.18272,0.98884,1.1634,0.81908,0.75296,0.86142,0.54871,1.13128,0.99776,1.19378,0.000208,0.000208,0.000208
14,1440.56,1.16361,0.95468,1.15819,0.81861,0.77895,0.86729,0.59494,1.03875,0.93102,1.12976,0.000142,0.000142,0.000142
15,1534.65,1.1053,0.91794,1.11418,0.77924,0.78947,0.86091,0.57857,1.06909,0.93973,1.15354,7.6e-05,7.6e-05,7.6e-05
